# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1788965993110000000,1788966053152000000,4230655354
AWTEventQueue.dispatchTimeAvgNs,1788965993110000000,1788966053152000000,0.0
FlushQueue.waitingTimeMaxNs,1788965993110000000,1788966053152000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788965993110000000,1788966053152000000,695154
FlushQueue.queueSizeAvg,1788965993110000000,1788966053152000000,0.0
NonBlockingReadAction.failedExecutionsCount,1788965993110000000,1788966053152000000,0
ReadAction.executionsCount,1788965993110000000,1788966053152000000,7399
FlushQueue.executionTimeMaxNs,1788965993110000000,1788966053152000000,0
FlushQueue.executionTimeAvgNs,1788965993110000000,1788966053152000000,0.0
FlushQueue.queueSizeMax,1788965993110000000,1788966053152000000,0
WriteAction.executionsCount,1788965993110000000,1788966053152000000,10
FlushQueue.tasksExecuted,1788965993110000000,1788966053152000000,0
FlushQueue.waitingTimeAvgNs,1788965993110000000,1788966053152000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1788965993110000000,1788966053152000000,0
FlushQueue.executionTime90PNs,1788965993110000000,1788966053152000000,0
NonBlockingReadAction.failedExecutionTimeUs,1788965993110000000,1788966053152000000,0
AWTEventQueue.dispatchTime90PNs,1788965993110000000,1788966053152000000,0
FlushQueue.queueSize90P,1788965993110000000,1788966053152000000,0
FlushQueue.waitingTime90PNs,1788965993110000000,1788966053152000000,0
NonBlockingReadAction.finalizedExecutionsCount,1788965993110000000,1788966053152000000,29
AWTEventQueue.eventsDispatched,1788965993110000000,1788966053152000000,0
writeAction.wait.ms,1788965993110000000,1788966053152000000,18
writeAction.median.wait.ms,1788965993110000000,1788966053152000000,0
writeAction.max.wait.ms,1788965993110000000,1788966053152000000,11
writeAction.count,1788965993110000000,1788966053152000000,10
JVM.newThreadsCount,1788965993110000000,1788966053152000000,200
JVM.maxThreadCount,1788965993110000000,1788966053152000000,186
JVM.totalCpuTimeMs,1788965993110000000,1788966053152000000,36439
OS.loadAverage,1788965993110000000,1788966053152000000,3.21142578125
JVM.GC.collectionTimesMs,1788965993110000000,1788966053152000000,129
JVM.maxHeapBytes,1788965993110000000,1788966053152000000,2147483648
JVM.GC.collections,1788965993110000000,1788966053152000000,20
JVM.threadCount,1788965993110000000,1788966053152000000,184
JVM.totalBytesAllocated,1788965993110000000,1788966053152000000,974612296
JVM.totalDirectByteBuffersBytes,1788965993110000000,1788966053152000000,237202520
JVM.usedHeapBytes,1788965993110000000,1788966053152000000,246564864
JVM.usedNativeBytes,1788965993110000000,1788966053152000000,265933952
cacheStateStorage.set.counter,1788965993110000000,1788966053152000000,3
cacheStateStorage.set.duration,1788965993110000000,1788966053152000000,10
cacheStateStorage.get.counter,1788965993110000000,1788966053152000000,24
