# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.reclaimed,1788220853677000000,1788220913689000000,3
MappedFileStorage.storages,1788220853677000000,1788220913689000000,10
FilePageCacheLockFree.housekeeperTurnsSkipped,1788220853677000000,1788220913689000000,0
StorageLockContext.competingThreads.90P,1788220853677000000,1788220913689000000,0
FilePageCache.totalPageLoadsUs,1788220853677000000,1788220913689000000,231414
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788220853677000000,1788220913689000000,213058
FilePageCache.disposedBuffers,1788220853677000000,1788220913689000000,3
FilePageCacheLockFree.totalPagesWritten,1788220853677000000,1788220913689000000,0
FilePageCache.pageHits,1788220853677000000,1788220913689000000,0
StreamlinedBlobStorage.recordsAllocated,1788220853677000000,1788220913689000000,2665
FilePageCacheLockFree.totalHeapBytesReclaimed,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesHandedOver,1788220853677000000,1788220913689000000,0
StreamlinedBlobStorage.recordsDeleted,1788220853677000000,1788220913689000000,19
FileChannelInterruptsRetryer.totalRetriedAttempts,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1788220853677000000,1788220913689000000,0
FilePageCache.pageLoads,1788220853677000000,1788220913689000000,208
StorageLockContext.competingThreads.max,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesReclaimed,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1788220853677000000,1788220913689000000,0
MappedFileStorage.totalPagesMapped,1788220853677000000,1788220913689000000,10
DirectByteBufferAllocator.misses,1788220853677000000,1788220913689000000,205
FilePageCache.pageFastCacheHits,1788220853677000000,1788220913689000000,4391
FilePageCacheLockFree.totalPageAllocationsWaited,1788220853677000000,1788220913689000000,0
FilePageCache.maxRegisteredFiles,1788220853677000000,1788220913689000000,555
DirectByteBufferAllocator.disposed,1788220853677000000,1788220913689000000,0
MappedFileStorage.totalBytesMapped,1788220853677000000,1788220913689000000,177471488
FilePageCacheLockFree.heapBytesInUse,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalBytesRequested,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesWriteMs,1788220853677000000,1788220913689000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalBytesWritten,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesReadMs,1788220853677000000,1788220913689000000,0
FilePageCache.capacityInBytes,1788220853677000000,1788220913689000000,503316478
FilePageCacheLockFree.totalNativeBytesReclaimed,1788220853677000000,1788220913689000000,0
StreamlinedBlobStorage.recordsRelocated,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1788220853677000000,1788220913689000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788220853677000000,1788220913689000000,69851
FilePageCacheLockFree.nativeBytesInUse,1788220853677000000,1788220913689000000,0
FilePageCacheLockFree.totalPagesRequested,1788220853677000000,1788220913689000000,0
FilePageCache.uncachedFileAccess,1788220853677000000,1788220913689000000,118
StorageLockContext.competingThreads.avg,1788220853677000000,1788220913689000000,0.0
FilePageCacheLockFree.totalBytesRead,1788220853677000000,1788220913689000000,0
FilePageCache.maxCacheSizeInBytes,1788220853677000000,1788220913689000000,212877312
FilePageCache.totalPageDisposalsUs,1788220853677000000,1788220913689000000,2080
DirectByteBufferAllocator.hits,1788220853677000000,1788220913689000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788220853677000000,1788220913689000000,212877312
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788220853677000000,1788220913689000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788220853677000000,1788220913689000000,6050
